activation,init,lr,lr_reg,opt,reg,units1,loss
relu, random_normal, 0.01, 0.0001, RMSprop, l1, 128, 33.7866
relu, random_normal, 0.01, 0.0001, RMSprop, l1, 128, 34.4147
relu, random_normal, 0.01, 0.0001, RMSprop, l1, 128, 34.5397
relu, random_normal, 0.01, 0.0001, RMSprop, l1, 64, 36.3316
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 128, 32.0979
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 128, 33.5619
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 32, 32.1579
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 32, 32.5204
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 34.6155
relu, random_normal, 0.0001, 1e-05, Adam, l2, 32, 91.1148
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 32, 31.9208
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 35.9109
relu, random_normal, 0.01, 1e-05, Adam, l2, 32, 90.5333
linear, random_normal, 0.0001, 1e-05, Adamgrad, l1, 32, 91.1063
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 36.9635
linear, random_uniform, 0.01, 0.01, RMSprop, l2, 64, 50.5346
relu, random_normal, 0.0001, 1e-05, Adamgrad, l1l2, 32, 91.1107
relu, random_uniform, 0.01, 1e-05, Adam, l1, 32, 91.1063
linear, random_normal, 0.001, 0.01, RMSprop, l1l2, 64, 90.9282
relu, random_uniform, 0.0001, 1e-05, Adamgrad, l1, 32, 91.1063
linear, random_normal, 0.01, 1e-05, RMSprop, l2, 64, 35.6797
relu, random_normal, 0.01, 0.01, Adam, l1, 32, 91.1063
relu, random_uniform, 0.001, 1e-05, RMSprop, l1l2, 32, 49.235
